	Query_ID	Doc_ID	Rank	Score
0	1	486	1	20.119134237971807
1	1	184	2	17.861152656619193
2	1	51	3	16.10272522053518
3	1	13	4	18.029652117379527
4	1	746	5	15.736615977466947
5	1	747	6	11.729302052024234
6	1	1340	7	12.223377242100122
7	1	56	8	11.025506398568343
8	1	879	9	11.054504962222124
9	1	1144	10	10.337427520417423
10	2	12	1	23.190994759132273
11	2	746	2	23.944917316535637
12	2	792	3	17.70023235086804
13	2	51	4	13.068464778196963
14	2	141	5	14.070490948129297
15	2	810	6	14.445765233696916
16	2	1380	7	12.24803664281598
17	2	92	8	12.026200366566833
18	2	909	9	11.462833204389561
19	2	875	10	10.355809991514228
20	3	399	1	24.975905189163754
21	3	144	2	22.451345439076484
22	3	485	3	21.850946334497863
23	3	5	4	16.85731793863657
24	3	90	5	16.734923680762996
25	3	181	6	15.238196874300629
26	3	6	7	11.533236885079098
27	3	542	8	11.079226685660132
28	3	582	9	10.337899446553678
29	3	584	10	9.180935540883505
30	4	166	1	32.83025117577334
31	4	488	2	28.58296118508973
32	4	185	3	15.205674413897047
33	4	236	4	14.689908122312445
34	4	1296	5	14.330307226380086
35	4	317	6	14.272025373083036
36	4	1312	7	13.620187503740027
37	4	1252	8	12.868325447213342
38	4	1077	9	10.609951122756776
39	4	541	10	10.03928094698038
40	5	552	1	17.26678844344181
41	5	103	2	10.6508121722248
42	5	1032	3	10.136178465122033
43	5	968	4	9.741130184093501
44	5	1296	5	9.578346619846634
45	5	1379	6	9.427469523821802
46	5	488	7	8.128604037493412
47	5	1272	8	8.423396221430885
48	5	824	9	7.817403036085802
49	5	367	10	7.322290437956431
50	6	386	1	10.796170111483423
51	6	385	2	10.28899695722485
52	6	1273	3	9.557092045936026
53	6	1374	4	8.476116971435236
54	6	271	5	8.583608665924924
55	6	1075	6	7.967542456785148
56	6	406	7	7.664569876184509
57	6	558	8	7.769665027296231
58	6	767	9	7.093526690126798
59	6	865	10	6.9446529471217335
60	7	57	1	14.33982803440167
61	7	48	2	14.02869790116689
62	7	248	3	12.778650121992497
63	7	1307	4	12.090612271558168
64	7	354	5	12.331856861162818
65	7	1381	6	11.184362855464016
66	7	567	7	10.615897367712872
67	7	801	8	9.81523381164913
68	7	1077	9	9.990650249117126
69	7	717	10	9.438153498384716
70	8	232	1	17.067071115841387
71	8	122	2	14.416796857281875
72	8	69	3	15.919352041393772
73	8	248	4	14.097878986552537
74	8	1193	5	13.1160547999349
75	8	469	6	13.4846798040837
76	8	354	7	12.498753815846914
77	8	688	8	10.674557303790252
78	8	48	9	11.11042800591505
79	8	56	10	10.620636078859848
80	9	168	1	9.67370086650412
81	9	398	2	8.554332676444929
82	9	5	3	8.799629562842702
83	9	303	4	8.350729900108986
84	9	21	5	8.101576606495597
85	9	846	6	7.585179284570809
86	9	101	7	7.356414908797207
87	9	554	8	7.703260353570841
88	9	1264	9	7.3379688545474036
89	9	550	10	7.319306898669936
90	10	302	1	20.601924848182815
91	10	493	2	16.73670428913895
92	10	1143	3	17.495471182163932
93	10	949	4	14.593267092415198
94	10	691	5	15.7591205090344
95	10	1286	6	12.677914927701327
96	10	1274	7	12.218981691702147
97	10	1319	8	12.178207336736723
98	10	332	9	11.776151826447142
99	10	583	10	10.133105831225599
100	11	654	1	14.257972393481168
101	11	1327	2	13.826154808795891
102	11	738	3	11.63549237465595
103	11	1238	4	12.042229186099888
104	11	570	5	10.393584014790099
105	11	28	6	10.381026965969603
106	11	304	7	10.427736635885363
107	11	1252	8	10.540424797309049
108	11	1156	9	9.730513239228088
109	11	27	10	8.836618081593999
110	12	941	1	10.033067942953885
111	12	966	2	8.958772652129433
112	12	1221	3	8.649398810651816
113	12	1164	4	8.163955093248436
114	12	270	5	8.076079559033904
115	12	652	6	7.504106298738941
116	12	1223	7	7.527238664280958
117	12	543	8	7.350382289626371
118	12	86	9	7.4759163206723604
119	12	245	10	7.049924810954527
120	13	313	1	12.869717942738035
121	13	903	2	9.220438544451714
122	13	643	3	9.61198054960311
123	13	1242	4	8.105092496534745
124	13	837	5	7.073637372628999
125	13	1056	6	7.062479333235348
126	13	503	7	6.0087963807633376
127	13	879	8	6.128343676035318
128	13	468	9	5.985564359839145
129	13	1290	10	5.73485448984948
130	14	64	1	16.600155437707844
131	14	132	2	13.228334821541111
132	14	335	3	13.728256229687977
133	14	291	4	13.743730274952826
134	14	1364	5	13.413747174236105
135	14	345	6	13.30944838317665
136	14	798	7	12.96325208803147
137	14	256	8	12.489926766287308
138	14	569	9	11.724423068281187
139	14	903	10	10.103908261438189
140	15	82	1	9.429833934718502
141	15	463	2	8.028202546669386
142	15	1340	3	6.871691793524075
143	15	553	4	7.698120851302683
144	15	1096	5	6.03329157157571
145	16	498	1	21.140005022886434
146	16	106	2	22.97812413302966
147	16	231	3	14.009028171912842
148	16	494	4	11.962841117508795
149	16	248	5	11.035153480516009
150	16	279	6	10.89783682422581
151	16	259	7	10.509462004327297
152	16	1112	8	10.544129775076335
153	16	1259	9	9.70750571129282
154	16	410	10	9.58903284049635
155	17	498	1	15.005031472247548
156	17	1281	2	14.743917491436136
157	17	700	3	14.217676640247994
158	17	494	4	11.474042963666603
159	17	1301	5	10.756459883279607
160	17	714	6	10.577137246322362
161	17	231	7	9.839864772976672
162	17	1259	8	9.70750571129282
163	17	410	9	9.497196643367564
164	17	527	10	9.77755626753029
165	18	248	1	19.176663174363654
166	18	57	2	16.598955916235955
167	18	197	3	14.171743258912542
168	18	492	4	15.201892377321201
169	18	927	5	12.472066008439143
170	18	354	6	12.828221706186302
171	18	688	7	12.317124085287876
172	18	232	8	11.315805536881255
173	18	1307	9	11.723046796440759
174	18	154	10	11.542870049356775
175	19	706	1	11.132470368493609
176	19	1242	2	13.471672754176575
177	19	1346	3	9.72448901476178
178	19	732	4	8.271726382676674
179	19	1347	5	7.99634549956761
180	19	714	6	7.690940397432386
181	19	1009	7	7.627206112434864
182	19	164	8	7.553604710429443
183	19	434	9	7.843193761541318
184	19	1291	10	7.278430363159359
185	20	268	1	22.38058121835956
186	20	88	2	22.74607481551581
187	20	87	3	18.66964556422943
188	20	270	4	17.77582608407228
189	20	450	5	11.469396538421275
190	20	396	6	10.711766850581569
191	20	269	7	10.798576499605984
192	20	912	8	10.42794445308509
193	20	104	9	9.871378457599539
194	20	120	10	9.538763462965509
195	21	502	1	18.851632429324315
196	21	68	2	15.19020982530542
197	21	413	3	13.00487161468513
198	21	460	4	12.226334159184155
199	21	16	5	11.633719516185225
200	21	376	6	11.060104209113048
201	21	302	7	10.188401469982068
202	21	205	8	10.394615895508512
203	21	377	9	8.952753542772413
204	21	663	10	8.539516199105229
205	22	125	1	16.648919917699203
206	22	413	2	15.144010937489199
207	22	140	3	15.584991742753846
208	22	165	4	14.760431079996057
209	22	1212	5	14.394879761481562
210	22	254	6	12.498627899064555
211	22	861	7	11.57888916680556
212	22	346	8	11.592159202879294
213	22	9	9	10.944658163800081
214	22	260	10	10.455491892148942
215	23	892	1	8.534744529483092
216	23	1197	2	9.033029222675584
217	23	1112	3	8.890243656791217
218	23	1259	4	6.941932365207366
219	23	1109	5	6.426112761914997
220	23	919	6	6.191464024281833
221	23	903	7	6.554435855250507
222	23	815	8	6.589211321219945
223	23	902	9	6.001300645328625
224	23	586	10	5.964748123316609
225	24	1361	1	11.348497292166227
226	24	47	2	8.469386892011645
227	24	612	3	8.91897390279642
228	24	724	4	8.328791650305684
229	24	883	5	7.822837049011867
230	24	834	6	7.561027378407391
231	24	439	7	7.848978105441224
232	24	583	8	7.530840744807976
233	24	453	9	6.380203471055408
234	24	75	10	6.1888519816791385
235	25	277	1	16.957627527709793
236	25	214	2	15.836949849129109
237	25	588	3	15.65939290092587
238	25	511	4	13.44734668697155
239	25	212	5	12.253032704606303
240	25	540	6	12.620957023990364
241	25	989	7	11.55656057748033
242	25	772	8	10.09462741266552
243	25	134	9	8.75652144075356
244	25	798	10	9.14075917362239
245	26	306	1	21.982273852347053
246	26	307	2	16.67876473227052
247	26	145	3	16.85295409922407
248	26	4	4	16.48823360041378
249	26	1282	5	17.08259921772262
250	26	148	6	16.16035219026778
