Query_ID	Doc_ID	Rank	Score
1	51	1	13.0
1	874	2	12.0
1	486	3	10.0
1	792	4	9.0
1	329	5	8.0
1	1268	6	8.0
1	1328	7	7.5
1	12	8	7.5
1	193	9	7.0
1	435	10	7.0
1	564	11	7.0
1	1263	12	7.0
1	876	13	6.5
1	1144	14	6.5
1	315	15	6.5
1	1147	16	6.5
1	101	17	6.0
1	606	18	6.0
1	184	19	6.0
1	662	20	6.0
1	13	21	6.0
1	522	22	6.0
1	982	23	6.0
1	82	24	5.5
1	717	25	5.5
1	56	26	5.5
1	252	27	5.5
1	158	28	5.5
1	114	29	5.5
1	685	30	5.5
1	283	31	5.0
1	588	32	5.0
1	962	33	5.0
1	272	34	5.0
1	294	35	5.0
1	1104	36	5.0
1	635	37	5.0
1	1226	38	5.0
1	707	39	5.0
1	747	40	5.0
1	359	41	5.0
1	571	42	5.0
1	29	43	5.0
1	566	44	4.5
1	878	45	4.5
1	395	46	4.5
1	1213	47	4.5
1	686	48	4.5
1	712	49	4.5
1	156	50	4.5
1	623	51	4.5
1	799	52	4.5
1	576	53	4.5
1	240	54	4.5
1	1097	55	4.5
1	800	56	4.5
1	253	57	4.5
1	746	58	4.5
1	1341	59	4.5
1	493	60	4.5
1	542	61	4.0
1	1207	62	4.0
1	244	63	4.0
1	572	64	4.0
1	1164	65	4.0
1	378	66	4.0
1	316	67	4.0
1	141	68	4.0
1	554	69	4.0
1	1300	70	4.0
1	1040	71	4.0
1	14	72	4.0
1	584	73	4.0
1	1393	74	4.0
1	5	75	4.0
1	1169	76	4.0
1	328	77	4.0
1	280	78	4.0
1	798	79	4.0
1	25	80	3.5
1	332	81	3.5
1	1250	82	3.5
1	1340	83	3.5
1	1380	84	3.5
1	1155	85	3.5
1	52	86	3.5
1	364	87	3.5
1	92	88	3.5
1	944	89	3.5
1	1098	90	3.5
1	1107	91	3.5
1	663	92	3.5
1	555	93	3.5
1	431	94	3.5
1	100	95	3.5
1	49	96	3.5
1	546	97	3.5
1	144	98	3.5
1	142	99	3.5
1	1163	100	3.5
1	873	101	3.5
1	879	102	3.5
1	1201	103	3.5
1	102	104	3.5
1	78	105	3.5
1	638	106	3.5
1	872	107	3.5
1	1191	108	3.5
1	976	109	3.0
1	303	110	3.0
1	1244	111	3.0
1	120	112	3.0
1	1212	113	3.0
1	658	114	3.0
1	959	115	3.0
1	700	116	3.0
1	80	117	3.0
1	1366	118	3.0
1	429	119	3.0
1	986	120	3.0
1	497	121	3.0
1	430	122	3.0
1	981	123	3.0
1	552	124	3.0
1	665	125	3.0
1	209	126	3.0
1	214	127	3.0
1	666	128	3.0
1	216	129	3.0
1	1338	130	3.0
1	1303	131	3.0
1	24	132	3.0
1	593	133	3.0
1	77	134	3.0
1	1063	135	3.0
1	453	136	3.0
1	204	137	3.0
1	197	138	3.0
1	1307	139	3.0
1	202	140	3.0
1	62	141	3.0
1	45	142	3.0
1	991	143	3.0
1	262	144	3.0
1	711	145	3.0
1	302	146	3.0
1	135	147	3.0
1	695	148	2.5
1	625	149	2.5
1	195	150	2.5
1	464	151	2.5
1	436	152	2.5
1	811	153	2.5
1	433	154	2.5
1	69	155	2.5
1	414	156	2.5
1	164	157	2.5
1	1348	158	2.5
1	603	159	2.5
1	1246	160	2.5
1	1204	161	2.5
1	784	162	2.5
1	1282	163	2.5
1	1168	164	2.5
1	406	165	2.5
1	865	166	2.5
1	269	167	2.5
1	755	168	2.5
